"","X","Y","DDEG0","SLOPE","MIND","SOLRAD","TPI"
"255",575600.6,138700.5,19668,6.39,161,6624353,-116
"256",580477.5,143595.9,18125,15.76,562,3541174,-181
"257",566921.6,119499.3,36203,7.57,-434,6298960,15
"258",567217.1,119963.1,35900,6.71,-484,6662102,36
"259",564300.4,147498,19694,11.64,519,4939486,-152
"260",567375.3,120135.8,35718,8.49,-449,6739211,51
"261",582302.9,146696.1,19262,15.11,311,4994516,-17
"262",577001.9,144894.8,20894,7.6,152,6108693,36
"263",567586.4,119886.5,35172,6.62,-448,6711327,41
"264",566597.5,119842.3,38236,9.86,-510,6579721,-64
"265",567203.5,121302.3,37963,2.33,-481,6473877,-26
"266",580599.6,151189.7,17322,14.71,181,7368170,215
"267",565503.8,139301.8,14899,21.17,420,7036704,279
"268",567201.5,121101.7,37841,6.13,-412,5824194,-24
"269",568299.9,121200.1,36810,6.66,-368,5879468,-92
"270",568600.9,119913.3,34808,10.14,-247,5450235,-134
"271",575301.1,128999.3,19817,16.85,75,7597215,-102
"272",568499.9,119901.1,34990,8.92,-280,5510807,-128
"273",568001.3,119898.9,35536,13.04,-420,6567318,-41
"274",577799.6,126297,14260,15,454,5402852,158
"275",567899.8,119898.4,35415,10.47,-429,6586680,-15
"276",567739.3,119992.1,34959,9.84,-455,6887459,52
"277",568299.9,119696.4,35323,8.23,-400,6080804,-122
"278",568201.9,119602.4,35597,8.46,-414,5928923,-119
"279",567499.3,119298.9,37174,6.25,-478,6300676,-71
"280",565400.3,144400.3,19495,46.89,891,2935560,-57
"281",569400.3,131500.1,27778,26.26,-183,7072652,32
"282",567397.1,119101.8,37538,5.56,-485,6301084,-83
"283",575299.8,121901.7,19368,37.36,661,3127145,-220
"284",567795.9,120798.4,36264,9.09,-380,5813140,0
"285",566799.5,120794.1,37023,12.13,-359,5561553,15
"286",555197.8,146597.1,35024,11.15,-344,6745574,4
"287",555805.8,146495.9,34539,10.23,-239,5991989,20
"288",556075.3,145996.9,35176,9.56,-294,6492848,2
"289",556700,145398.2,35296,6.19,-296,6697828,4
"290",580401.9,139199.1,18594,44.39,488,5847625,-108
"291",556095.9,147396.3,33841,15.52,-308,7312254,3
"292",556500.7,147401.7,32992,13.21,-238,7234748,14
"293",557399.3,148599,32207,7.79,-178,6655152,-51
"294",580198.9,125401,12932,22.6,516,5812408,-9
"295",556396.8,146594.9,34267,14.9,-325,7594603,1
"296",581200.3,137900,14343,13.69,472,6442929,160
"297",569402.9,124255.3,30626,26.56,-335,8154015,21
"298",575603.4,122200.8,20861,33.36,534,3231546,-259
"299",566898.4,128704.9,30262,21.65,-267,7230436,-30
"300",564497.7,145390,18353,41.37,568,6396850,58
"301",567033.4,128733,30399,24.08,-288,7658354,-115
"302",575801.8,122501.7,20590,43.06,531,4021348,-155
"303",561029.3,142573.3,28669,27.21,214,5719589,121
"304",574998.5,121895.7,19310,21.57,468,3426233,-77
"305",559403.6,144804.3,31148,19.08,-124,7352464,-4
"306",558901.4,144999.9,32962,5.56,-147,6393180,-29
"307",574493.8,120197.7,19484,35.42,591,3740758,-306
"308",558901.9,145301.7,32962,20.45,-187,7178387,-51
"309",559400.1,144600.6,31702,10.99,-130,6918214,-9
"310",559298.5,146098.9,29223,9.43,-83,7395940,2
"311",575499.6,140299.8,16947,7.43,317,6514129,122
"312",580308.3,125895.5,13085,7.73,427,7068280,-5
"313",561650.3,144250.7,27800,17.94,-32,7706308,-57
"314",569177.4,146198.7,24308,57.33,950,1419070,-96
"315",559399.1,146299.4,28332,13.63,-41,7651420,16
"316",575701.7,139799.2,17168,4.57,252,6761941,74
"317",577104.4,139798.9,16947,7.57,289,7010958,113
"318",568401.1,137500.5,14553,5.49,224,6561058,97
"319",572002.5,137399,16771,3.33,213,6380832,20
"320",572400,119200,12532,25.24,596,4899398,16
"321",568600.2,137699.4,14856,4.77,202,6754772,97
"322",576400.9,139495.3,17261,3.14,271,6663623,34
"323",581495,141708.9,14543,11.01,470,6357541,-120
"324",572790,119200,14162,31.55,398,5276570,-13
"325",568898.6,146093,22625,39.97,978,1722448,-349
"326",581800.3,139198.9,15119,19.98,558,5380070,50
"327",578800,142800,14373,26.59,1131,1701225,-334
"328",575699.4,127700.4,17424,29.61,462,4491642,-145
"329",573599,118503.8,17697,21.56,556,3287894,-154
"330",564594,147102.9,16345,53.95,1263,2255392,-133
"331",566801,141197.9,16345,36.59,896,2946497,-105
"332",572501.1,118104.5,10833,11.34,538,6054267,42
"333",570525.5,133196.1,25311,22.58,171,4467623,5
"334",566274.6,141005.1,14887,47.27,1189,2424650,166
"335",576801.2,125097.5,15768,52.95,948,2118242,-430
"336",567797.4,136197.1,14051,48.17,307,7403354,25
"337",567699.5,135898.8,14111,49.56,385,6413303,56
"338",571502.8,137302.4,15211,37.12,410,4705790,44
"339",564297.7,142001.5,15457,43.17,609,8258224,163
"340",564401.8,142100,14795,39.84,598,8517557,141
"341",571899.5,117300.2,9023,26.9,878,4489118,-106
"342",558978.9,150775.4,28710,4.69,-18,6478032,-30
"343",569946.4,145602.9,24308,36.66,42,5920415,72
"344",583702.1,145787.8,15199,43.41,792,3613536,92
"345",563095.1,148098.7,17691,38.85,777,5396307,-34
"346",565777,140310.9,15040,44.78,579,5967020,196
"347",564498.7,147097.7,16832,36.73,969,3944248,7
"348",572399,130099.6,14261,6.08,347,6317598,167
"349",568001.2,137391.3,13396,7.4,414,5990757,24
"350",571998.1,117500.9,9501,28.4,657,5779986,-158
"351",573528,145101.4,25351,24.87,13,5889714,10
"352",571003.5,146493.3,25093,15.23,-109,5977859,169
"353",579801.1,125899.6,13085,14.38,504,5331515,0
"354",580200.6,125803.9,12932,3.84,435,6795155,-2
"355",579299.8,125801.8,13480,2.54,416,6523772,-22
"356",579600.8,135998.8,13077,2.53,525,6557858,-19
"357",581602.6,136003.3,12708,4.69,578,7144180,159
"358",579599.3,126198.6,14049,1.73,408,6693274,-49
"359",580600,126400.7,13403,5.56,414,7072058,-73
"360",566496.5,134101.5,13673,48.93,425,6559562,108
"361",572700.4,145900.5,28018,6.47,-244,6552899,-126
"362",578200,123100,8628,34.53,796,5741556,-42
"363",580101.4,125999.7,12919,2.42,432,7122893,16
"364",581600.9,135899.4,12813,4.43,507,6858623,107
"365",579498.5,126100.5,14049,4.26,383,6588556,-58
"366",572496.9,147096.7,22288,22.43,-76,7927350,19
"367",579600,125798.4,12767,18.54,587,4950733,160
"368",579705.7,139600.7,13294,23.33,506,6119934,188
"369",579000,125099.2,13373,11.86,406,6128211,-56
"370",580000.6,125598.8,12728,19.39,507,5479541,5
"371",569772.6,134297.1,26048,28.63,-182,7869120,-63
"372",579899.2,125101.4,12224,15.73,463,6337482,47
"373",567204.4,135794.2,11820,9.28,402,6914250,182
"374",577599.3,125597.3,14502,45.79,790,2703525,24
"375",571084.2,137391.7,12208,41.8,754,3971656,198
