"","A_vernalis","A_capillaris","A_patens","A_pulsatilla","A_ramosum","A_vulneraria","A_cynanchica","A_tinctoria","B_laevigata","B_pinnatum","B_media","B_erectus","B_salicifolium","C_glomerata","C_rotundifolia","C_defloratus","C_caryophyllea","C_ericetorum","C_humilis","C_montana","C_pannonica","C_scabiosa","C_ratisbonensis","D_decumbens","D_cneorum","D_pentaphyllum","E_herbacea","E_cyparissias","E_verrucosa","F_rupicola","F_vulgaris","G_boreale","G_mollugo","G_verum","G_tinctoria","G_verna","G_cordifolia","G_punctata","H_ovatum","H_pratense","H_pubescens","H_comosa","I_hirta","K_pyramidata","L_hispidus","L_incanus","L_catharticum","L_perenne","L_corniculatus","L_corniculatus_hirsutus","P_oreoselinum","P_saxifraga","P_media","P_amarella","P_chamaebuxus","P_odoratum","P_alba","P_incana","P_grandiflora","R_saxatilis","R_aristatus","S_pratensis","S_minor","S_canescens","S_columbaria","S_officinalis","Teucrium_montanum","T_linophyllon","T_praecox","Trifolium_montanum","V_spicata","V_hirta"
"X03M06",1,1,4,3,5,4,2,1,2,2,1,1,3,1,2,1,1,5,7,1,2,2,2,2,1,1,1,2,1,1,3,1,1,1,2,1,3,3,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,3,2,1,4,1,1,1,2,1,2,1,1,2,2,1,2,1,2
"X03M07",1,1,4,4,9,2,1,1,2,2,2,1,2,1,2,1,1,3,6,1,2,2,1,1,1,1,10,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2,1,2,1,1,2,1,2,1,7,1,1,1,2,1,2,2,1,1,1,3,1,1,1,2,1,1
"X03M08",1,1,5,1,10,2,2,1,2,5,1,2,3,1,1,1,1,1,5,2,4,2,1,1,1,2,1,2,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,1,2,7,1,1,2,4,1,2,1,1,1,1,3,1,2,2,2,1,1
"X03M09",1,1,5,1,7,1,2,1,1,6,1,2,2,1,2,1,1,1,1,2,4,2,1,1,1,1,4,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,3,1,1,2,9,1,1,2,2,1,2,1,1,1,1,4,1,2,1,2,1,2
"X03M10",1,1,5,1,9,1,2,1,2,1,1,1,1,1,2,1,1,1,9,1,4,2,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,2,1,5,1,1,2,4,1,2,1,1,1,1,4,2,2,2,2,2,1
"X03M11",1,1,5,2,10,2,2,1,2,4,1,2,1,1,1,1,1,3,7,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,4,1,1,2,4,2,2,1,2,1,1,3,1,2,2,2,2,1
"X03M12",1,1,4,2,10,1,2,1,2,2,1,2,1,1,1,1,1,2,7,1,2,3,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,2,3,2,1,1,1,2,1,2,1,6,1,1,2,3,1,2,1,1,1,1,3,2,2,2,2,1,2
"X03M13",1,1,2,2,10,3,2,2,2,3,1,1,3,1,1,1,1,1,6,1,2,3,1,1,1,2,1,2,3,1,2,1,1,1,3,1,3,1,3,1,1,2,3,1,1,2,1,2,1,1,2,1,1,1,4,1,1,3,2,1,2,2,1,3,1,2,2,2,1,1,1,2
"X03M14",1,1,2,1,5,1,2,1,2,7,1,3,1,1,1,2,1,3,5,1,2,4,2,2,1,2,6,2,1,1,3,1,1,1,1,1,5,1,4,1,1,4,1,1,3,3,2,1,1,1,2,1,1,1,5,1,1,1,1,1,2,1,2,1,2,2,2,3,2,2,1,2
"X03M15",1,1,2,1,6,3,2,1,1,4,1,3,4,1,1,1,2,1,6,1,2,3,1,2,1,2,3,2,1,1,2,1,1,1,1,1,4,1,4,1,1,2,2,1,4,3,1,2,2,1,2,1,1,1,6,1,1,3,1,1,2,1,1,2,2,3,4,2,2,2,1,1
