"","IDENT","elev","PerSlope","aspect","Northness","Sdclass","Rockiness","VallyBotFlat","topowet","PPTann","pptColdQtr","pptWarmQtr","cvTemp","TempColdMin","TempColdMean","TempWarmMean","cvRad","annMeanRad","miAnnMean","miColdQtr","miWarmQtr","T0","T1","T2","GeolID","GeolClass","SOIL","Sandiness","Loaminess","K","Thor","Uran","THtoK","TotalC"
"38","GMTW1",1093,8,8.65255,0.988618816,10,80,0,6.76,1288,446,187,148,4,31,138,47,144,85.53,4,58.53,3315.06,2488.58,1123.32,2688,"Ssr","",1,0,0.49,3.66,2.78,1.79,575.51
"39","GMTW2",1090,16,143.139862,-0.800102191,10,85,0,7.09,1296,449,188,148,3,31,137,47,144,86,3,59,1221.63,2966.46,6197.09,2688,"Ssr","",1,0,0.59,3.94,2.37,2.31,568.24
"40","GMTW3",1055,14,70.526107,0.333377307,10,90,0,6.51,1335,463,193,148,2,28,135,47,143,86.97,2,61,2183,1287.56,801.55,2688,"Ssr","",1,0,0.83,2.79,2.58,2.33,537.8
"41","GMTW4",975,21,104.509162,-0.250534815,15,80,0,7.5,1297,450,188,148,3,31,137,47,144,85.59,3.42,58.19,2149.21,1371.98,951.4,2688,"Ssr","",1,0,0.84,2.61,2.57,2.18,541.37
"42","GMTW5",1068,19,63.785171,0.441738062,25,10,0,7.44,1315,457,191,149,2,29,136,47,144,86,2.04,60.65,210.84,188.76,132.79,2688,"Ssr","loam ",0,1,0.52,3.27,-0.04,1.69,481.34
"43","GMTW6",1098,24,44.54528,0.712696308,20,30,0,7.37,1344,467,195,149,1,28,134,47,143,86.99,1.01,61.99,1484.1,801.93,369.17,2688,"Ssr","loam",0,1,0.39,2.97,0.66,1.16,404.42
"44","GMTW7",1097,19,60.949939,0.485573616,20,50,0,7.88,1345,467,195,149,1,28,134,47,143,87,1,62,1954.84,1137.68,1406.59,2688,"Ssr","sandy loam",1,0,0.39,2.12,1.09,0.82,364.11
"45","GMTW8",1125,20,113.062744,-0.391738929,30,10,0,6.57,1348,469,195,149,1,27,134,47,143,87,1,62,411.64,508.61,558.5,2688,"Ssr","sandy loam",1,0,0.38,1.83,0.97,0.7,357.67
"46","GBOR1",693,14,259.885192,-0.175621163,15,60,0,10.04,937,330,136,154,15,54,165,46,153,74.4,15,31,3769.8,6376.25,8488.78,3198,"Dg397","",1,0,0.11,-1.29,-0.35,-0.14,220.9
"47","GBOR2",722,32,10.889943,0.981991889,10,95,1.44,11.56,965,339,140,154,14,51,162,46,152,76,14,33,9100.04,6767.07,3323.25,2688,"Ssr","",1,0,0.11,-1.75,2.53,-0.19,349.84
"48","GBOR3",738,27,94.022277,-0.070144328,25,20,0,6.28,991,348,144,154,12,49,160,46,151,77,12,35.1,124.43,196,192.17,3198,"Dg397","",1,0,0.18,-0.84,2.61,-0.15,418.65
"49","GBOR4",706,12,56.389877,0.553538701,20,10,0,6.34,981,344,143,153,13,50,161,46,152,76,13,34.9,863.68,540.81,335.61,2688,"Ssr","",1,0,0.02,-0.11,2.72,0,477.15
"50","GGLE1",427,14,171.878189,-0.989969949,25,0,0,10.8,834,302,117,151,25,69,179,46,155,69,25,22,1315.89,1758.53,4544.33,2688,"Ssr","",1,0,0.46,2.17,3.04,0.99,788.99
"51","GGLE2",445,30,183.500656,-0.998134099,70,10,0,6.45,838,302,118,151,25,69,178,46,155,70,24.86,23,1278.31,1640.98,4396.87,2688,"Ssr","",1,0,0.44,1.93,3.48,0.85,788.62
"52","GGLE3",300,5,218.069747,-0.787260716,100,0,0,8.69,805,297,110,150,29,76,186,46,156,67,29,19,1445.16,3317,6515.09,2688,"Ssr","",1,0,-0.13,1.58,1.69,-0.21,778.05
"53","GPAD1",267,17,97.933876,-0.138030158,10,90,0,7.46,755,275,105,149,31,79,187,45,157,66,31,18,3926.05,6494.51,8486.69,2688,"Ssr","loamy sand",1,0,0,-3.1,3.35,0.01,733.79
"54","GPAD2",237,19,338.654357,0.931401559,10,85,0,10.33,746,272,104,149,31,79,188,45,157,65,31,18,10322.29,8249.43,4532.73,2688,"Ssr","sandy clay loam",0,0,-0.29,-0.58,3.11,0.17,791.24
"55","GPAD3",241,17,339.819732,0.938611884,100,0,0,8.85,750,273,105,149,31,79,188,45,157,65.09,31,18,10390.1,8240.73,4449.65,2688,"Ssr","sandy loam",1,0,-0.46,1.4,2.68,-0.65,822.75
"56","GMTHOL1",297,17,10.629888,0.982839258,15,95,0,6.99,653,230,98,158,25,74,189,44,160,62.15,24.96,16.04,821.05,2229.91,1211.29,2688,"Ssr","",1,0,-0.17,12.16,4.04,-2.08,964.64
"57","GMTHOL2",281,24,299.53424,0.492943597,10,85,0,9.79,621,218,94,158,26,76,191,44,161,61.28,26,15.28,976.64,903.26,3693.78,2688,"Ssr","",1,0,-0.11,11.41,3.61,-1.24,914.6
"58","GMTHOL3",281,26,299.53424,0.492943597,30,80,0,9.79,621,218,94,158,26,76,191,44,161,61.28,26,15.28,976.64,903.26,3693.78,2688,"Ssr","",1,0,-0.11,11.41,3.61,-1.24,914.6
"59","GMTHOL4",283,21,307.730865,0.61195318,10,30,0,6.89,607,212,92,158,27,78,192,44,162,60,27,15,1044.92,4012.7,3105.54,2688,"Ssr","",1,0,-0.3,9.59,3.31,-2.92,837.04
"60","GMTHOL5",232,7,31.980537,0.848228057,100,5,0,8.98,619,217,94,158,27,77,191,44,161,60.18,27,15,8433.85,7577.47,5031.17,2688,"Ssr","",0,0,-0.55,10.02,3.38,-5.55,813
"61","GHEN1",323,13,260.920104,-0.157811593,25,5,0,9.13,751,262,111,146,30,75,181,45,156,67,30,20,3758.07,5882.91,8221.59,2688,"Ssr","loamy sand",1,0,0.32,4.64,4.72,1.47,1083.16
"62","GHEN2",319,13,247.982925,-0.374882891,15,10,0,10.4,747,261,111,146,30,75,182,45,156,67,30,20,2860.29,5189.76,8073.05,2688,"Ssr","loamy sand",1,0,0.32,4.64,4.72,1.47,1083.16
"63","GHEN3",312,9,272.800018,0.048850084,25,5,0,10.09,745,260,110,146,30,76,182,45,156,67,30,20,4676.91,6415.19,8074.23,2688,"Ssr","loamy sand",1,0,0.54,2.87,4.65,1.55,1042.44
"64","GHEN4",304,10,270.738525,0.012889336,20,10,0,11.02,740,258,110,146,31,76,182,45,156,67,30.87,20,4484.38,6300.59,8077.08,2688,"Ssr","loamy sand",1,0,1.38,-1.29,6.55,-1.79,963.93
"65","GHEN5",316,8,218.325042,-0.784505412,100,5,0,10.15,752,265,110,146,30,76,183,45,156,67,30,20,1449,3332.56,6531.37,2688,"Ssr","loamy sand",1,0,-0.32,5.14,5.02,-1.65,1015.91
"66","GHEN6",327,7,210.261062,-0.863738226,100,5,0,9.5,756,266,111,146,30,75,182,45,156,67,30,20,1402.43,2846.15,5944.55,2688,"Ssr","loamy sand",1,0,-0.12,-0.99,4.91,0.12,1073.58
"67","GHEN7",312,5,223.921188,-0.720294642,100,0,0,10.05,748,263,110,146,30,76,183,45,156,67,30.03,20,1554.77,3676.36,6863.26,2688,"Ssr","loamy sand",1,0,-0.32,5.14,5.02,-1.65,1015.91
"68","GHEN8",300,3,228.826889,-0.658336278,100,0,0,7.25,747,263,109,146,31,77,183,45,156,67,31,20,1760.41,4071.21,7230.79,2688,"Ssr","loamy sand",1,0,-0.31,8.91,4.45,-2.76,995.04
"69","GHAM1",633,24,199.107589,-0.944905563,10,95,0,6.48,904,312,134,148,20,59,166,46,152,74,20,31,1178.41,1866.64,4700.71,2688,"Ssr","",1,0,-1.25,2.08,3.6,-2.61,1105.01
"70","GHAM2",607,45,237.035812,-0.544114728,15,85,0,6.95,890,308,132,148,21,60,167,46,152,74,20.73,30,1880.3,3810.6,7255.84,2688,"Ssr","",1,0,-0.49,3.56,4.42,-1.75,1037.08
